hora,engagement,engage_pond
0,5.843584905660377,14.585094339622641
1,5.428181818181818,14.083333333333334
2,4.42375,13.429375
3,5.891071428571428,13.651071428571429
4,5.71741935483871,15.309032258064516
5,5.552727272727273,13.54340909090909
6,5.391568627450981,14.183823529411764
7,5.471169590643275,13.63514619883041
8,5.6621014492753625,14.701642512077296
9,5.742875264270613,14.315813953488373
10,5.769041095890411,14.355616438356165
11,5.667573333333333,14.116746666666666
12,5.633457627118644,14.176033898305086
13,5.430174825174825,14.493251748251748
14,5.77406976744186,14.847558139534884
15,5.768980263157895,14.367565789473684
16,5.614899713467048,14.418194842406876
17,5.731646778042959,14.546825775656325
18,5.625754985754986,14.646609686609686
19,5.480614525139664,13.807150837988827
20,5.533445378151261,14.436806722689075
21,5.662361111111111,13.571527777777778
22,5.271851851851852,14.001296296296298
23,5.761269841269841,14.703333333333335
